window_h,lead_h,grade,threshold_mm,AROC,BS,BS_ref,BSS,base_rate,n_points,n_used
6,276,AVG,,0.694689,0.063663,,-0.165249,,,4
6,282,≥0.1,0.1,0.738333,0.14368,0.121091,-0.186542,0.154445,3.56362e+06,
6,282,≥4,4,0.745597,0.0364395,0.0355944,-0.0237439,0.0382833,3.56362e+06,
6,282,≥13,13,0.654496,0.0114119,0.0112265,-0.0165166,0.0115896,3.56362e+06,
6,282,≥25,25,0.571524,0.00414504,0.00408927,-0.0136395,0.00416262,3.56362e+06,
6,282,AVG,,0.677487,0.048919,,-0.0601105,,,4
6,288,≥0.1,0.1,0.747366,0.146763,0.128154,-0.14521,0.168802,3.56058e+06,
6,288,≥4,4,0.769019,0.0405362,0.0397763,-0.0191021,0.0435124,3.56058e+06,
6,288,≥13,13,0.701983,0.0142015,0.0139683,-0.0166885,0.0145673,3.56058e+06,
6,288,≥25,25,0.603035,0.00551318,0.00542746,-0.0157936,0.0055536,3.56058e+06,
6,288,AVG,,0.705351,0.0517534,,-0.0491987,,,4
6,294,≥0.1,0.1,0.718785,0.203377,0.122135,-0.665183,0.156206,3.5594e+06,
6,294,≥4,4,0.76718,0.0380282,0.0364552,-0.0431493,0.0396949,3.5594e+06,
6,294,≥13,13,0.700231,0.0122002,0.0120304,-0.0141151,0.0125164,3.5594e+06,
6,294,≥25,25,0.600821,0.00430728,0.00425156,-0.0131071,0.00433781,3.5594e+06,
6,294,AVG,,0.696754,0.0644782,,-0.183889,,,4
6,300,≥0.1,0.1,0.728277,0.189683,0.123292,-0.538481,0.160879,3.56334e+06,
6,300,≥4,4,0.777094,0.0438603,0.0413575,-0.060516,0.0458727,3.56334e+06,
6,300,≥13,13,0.688096,0.0143826,0.0140785,-0.0216027,0.0147696,3.56334e+06,
6,300,≥25,25,0.571256,0.00517121,0.00507663,-0.0186316,0.00520159,3.56334e+06,
6,300,AVG,,0.691181,0.0632743,,-0.159808,,,4
6,306,≥0.1,0.1,0.72575,0.143704,0.121284,-0.184859,0.154748,3.55362e+06,
6,306,≥4,4,0.728263,0.0365228,0.0356887,-0.0233696,0.0383862,3.55362e+06,
6,306,≥13,13,0.650743,0.0114345,0.0112573,-0.0157422,0.0116214,3.55362e+06,
6,306,≥25,25,0.572812,0.00415656,0.00410077,-0.0136049,0.00417433,3.55362e+06,
6,306,AVG,,0.669392,0.0489545,,-0.059394,,,4
6,312,≥0.1,0.1,0.734095,0.147392,0.12834,-0.148451,0.169105,3.5506e+06,
6,312,≥4,4,0.753164,0.0406872,0.0398773,-0.0203099,0.043625,3.5506e+06,
6,312,≥13,13,0.688355,0.0142538,0.014007,-0.0176198,0.0146077,3.5506e+06,
6,312,≥25,25,0.599332,0.00552753,0.00544243,-0.0156368,0.00556892,3.5506e+06,
6,312,AVG,,0.693737,0.0519651,,-0.0505045,,,4
6,318,≥0.1,0.1,0.706744,0.204536,0.122313,-0.672229,0.156469,3.54943e+06,
6,318,≥4,4,0.750164,0.0381677,0.0365498,-0.0442652,0.0397996,3.54943e+06,
6,318,≥13,13,0.691679,0.0122507,0.0120639,-0.0154862,0.0125513,3.54943e+06,
6,318,≥25,25,0.598461,0.00432193,0.0042635,-0.013706,0.00434999,3.54943e+06,
6,318,AVG,,0.686762,0.0648191,,-0.186422,,,4
6,324,≥0.1,0.1,0.716961,0.190924,0.12351,-0.545812,0.161197,3.55336e+06,
6,324,≥4,4,0.768809,0.043941,0.0414668,-0.0596671,0.0459954,3.55336e+06,
6,324,≥13,13,0.680191,0.0144545,0.014118,-0.0238363,0.0148111,3.55336e+06,
6,324,≥25,25,0.564944,0.00519004,0.00509088,-0.0194764,0.0052162,3.55336e+06,
6,324,AVG,,0.682726,0.0636273,,-0.162198,,,4
6,330,≥0.1,0.1,0.71866,0.144471,0.121483,-0.189232,0.155032,3.54366e+06,
6,330,≥4,4,0.729012,0.03653,0.0357805,-0.0209459,0.0384865,3.54366e+06,
6,330,≥13,13,0.645122,0.0114715,0.0112889,-0.0161732,0.0116541,3.54366e+06,
6,330,≥25,25,0.567063,0.00416843,0.0041123,-0.0136498,0.00418607,3.54366e+06,
6,330,AVG,,0.664964,0.0491602,,-0.0600001,,,4
6,336,≥0.1,0.1,0.729777,0.147903,0.128587,-0.150219,0.169473,3.54066e+06,
6,336,≥4,4,0.754927,0.0405025,0.0399822,-0.0130144,0.0437419,3.54066e+06,
6,336,≥13,13,0.686672,0.0142938,0.014046,-0.0176444,0.0146484,3.54066e+06,
6,336,≥25,25,0.597888,0.00555046,0.00545771,-0.0169951,0.00558456,3.54066e+06,
6,336,AVG,,0.692316,0.0520624,,-0.0494682,,,4
6,342,≥0.1,0.1,0.705602,0.203052,0.122558,-0.656783,0.156824,3.53946e+06,
6,342,≥4,4,0.755798,0.0378235,0.0366502,-0.0320142,0.0399106,3.53946e+06,
